gene	0h	3h	12h	24h	48h
Sart1	5.915654159	6.128638472	6.131819983	5.659174795	5.480204837
Armc1	5.848641521	6.350904107	5.979770263	5.753430905	5.413289962
affy_1447250_a_at	3.172619834	2.766018521	2.79069012	2.731416425	2.737417569
Sap130	6.980259856	7.575630126	7.407049651	6.817417785	6.54529463
Ttll9	3.736726396	3.161674688	3.461136349	3.781433301	3.301778521
Eif1	11.90137475	11.98330876	11.56670579	11.46537308	11.46657033
Aldoc	4.078827724	4.447556908	3.713631295	3.804939277	3.644029791
B130052G07Rik	4.575960422	5.009708326	5.547112284	4.341407111	4.141213788
Mare	7.468062521	7.209490138	6.926021908	7.071896927	7.033342262
2310010G23Rik	5.515550797	6.516923484	5.904803612	4.964720758	5.08097329
Kif16b	5.454559106	4.895143328	4.86462	5.084493003	5.020452668
Ring1	6.680741461	6.421871863	6.177173358	6.410796307	6.246805166
Snapc2	7.81066737	7.968846894	7.794203131	7.556532337	7.376796217
Wdtc1	7.305685291	6.340555637	6.810574672	7.096067187	6.872054343
2610511M17Rik	5.863969379	4.819076235	5.235924857	5.417261079	5.430924864
Dbt	8.811875641	8.650113102	8.777983323	8.649203054	8.378985881
Sfrs1	9.211570852	10.36770957	10.11564525	9.134264339	8.778829235
Pvt1	4.678827278	3.570087798	3.933318048	4.00098469	4.246743677
affy_1437135_at	3.47601084	3.07084478	2.893605161	3.076311347	3.044111389
Moap1	5.63017495	5.827045223	5.620076086	5.352670042	5.198413819
1500015A07Rik	5.308927335	5.750203625	5.422343049	5.063573543	4.877303816
Grap2	3.276500317	2.900312859	2.827351723	2.845093601	2.844887366
Pllp	5.013730957	4.452378178	4.447984089	4.411381756	4.582483628
Dnajb12	6.394480552	6.690889471	6.631058364	6.222162632	5.963335848
Rsbn1	8.685589297	9.061447733	8.700486474	8.127167358	8.254537996
Mfn1	6.541071888	6.175544543	6.542275984	6.274876968	6.110030332
Sgip1	3.145266823	2.58664071	2.383816568	2.474364993	2.714357166
Arhgef9	2.494268781	2.275943873	2.124946428	2.173406073	2.063573688
Ankra2	5.114518669	5.036188907	4.519790349	4.628428358	4.683962242
Aarsl	6.067411174	5.904243387	5.913059253	5.849929273	5.636882876
Pomt2	5.278837103	5.233759713	5.273931291	5.078269748	4.848527126
Mgat4b	8.629815614	8.279108478	8.802583743	8.306811508	8.199599178
B230209C24Rik	3.722105533	2.914357646	2.855922358	2.987372105	3.292376293
Polg	6.096053952	6.679340611	6.027382964	5.863507859	5.666702088
BC021611	6.31909853	6.295757839	6.239755926	6.178245207	5.8898818
Rab10	8.38355361	8.127126847	8.173392654	8.072494234	7.954343744
AI449441	5.357098376	6.312223188	5.604129704	5.196929982	4.928285021
Ankrd22	3.082634279	3.69992742	3.588851263	3.008442753	2.653985319
4833420G17Rik	7.05294478	6.634098312	6.498016026	6.5200611	6.624296375
AU022870	10.13087807	10.0464108	9.773059117	9.969408422	9.702421106
Mccc1	5.408502472	5.155923121	5.276179141	5.290128859	4.980332001
Smarcal1	5.567053968	4.617376987	4.740830451	5.192100587	5.139072619
8430410K20Rik	8.544851419	8.403466724	8.102057835	8.147624918	8.116885745
Pabpc2	3.630130776	3.74313291	3.216078067	3.332743084	3.202171768
Ndufa8	10.13762108	10.21849191	10.10133096	10.0345214	9.709691678
Tardbp	8.391122363	8.035464451	8.197423635	8.018891872	7.963383464
BC010311	6.481465345	8.082539629	6.917417948	6.248444364	6.053742241
Samd4	3.404477591	3.504322355	3.556704388	3.02742673	2.977316357
Ccar1	9.129770572	9.129910391	9.167309874	8.719739998	8.702662691
BC052046	3.705646431	2.908514463	2.97707668	3.193754798	3.278698103
Bcl7a	3.571691124	3.120304247	3.126330102	3.291104707	3.14476076
Exoc7	6.795764407	6.656808733	7.013248352	6.852124226	6.368908449
Zfp423	3.746036258	3.729460819	3.363039801	3.106022259	3.3196196
1600002K03Rik	6.84473621	6.686216528	6.435813984	6.793030912	6.418326509
D330012F22Rik	5.485318838	5.024638936	5.342475948	5.016737933	5.059001898
Rpl11	9.54223137	9.448136646	9.385329193	9.220462491	9.11595899
affy_1420102_at	2.660967315	2.360518887	2.218938306	2.506478601	2.235137092
2610507N02Rik	5.728333845	5.538841672	5.568337641	5.222612593	5.302807998
Ces2	3.51416775	3.279217243	3.326448151	3.521672835	3.088685954
6330537M06Rik	4.622790076	4.468467298	4.389211025	4.23141017	4.197663309
2310044G17Rik	5.627842469	5.641458217	5.111554894	5.04120815	5.202790168
AA792894	7.434984321	7.215400031	6.965031789	7.02315688	7.009951338
Magi1	3.368639144	2.969044059	3.142740778	3.32321231	2.94371999
Usp28	6.613531173	6.35920331	6.640387033	6.27350125	6.188853316
Wnt10b	4.528349766	4.465361514	4.46220554	4.145290357	4.103771207
L3mbtl2	5.925895582	6.232312363	6.063152996	5.731045655	5.501912427
Zfp202	6.328186495	5.926767361	5.878158646	6.048996348	5.904505721
Rexo2	8.609115366	8.820482043	8.786894941	8.53824727	8.185439207
Elovl6	7.106539798	6.765866836	7.016163871	6.693398081	6.682874371
affy_1439149_s_at	3.226064005	3.301350792	3.139697341	3.141016158	2.802432091
Apbh	3.065012147	2.927219026	2.865488456	2.972637914	2.641607826
affy_1436531_at	7.636542397	7.890632015	7.413903995	7.145248304	7.213273571
affy_1444441_at	4.634503782	4.238269107	4.01037475	3.992365591	4.211692807
Pde6d	7.924718267	7.306210645	8.246663898	7.644055878	7.502051718
affy_1439845_at	3.959010324	3.211717846	3.412226601	2.920052211	3.536354192
4930443B20Rik	3.367708633	3.216638162	3.230212837	3.174102155	2.945328857
0610009O20Rik	6.102997081	6.207532561	6.153755413	5.979952097	5.680836527
LOC544823	11.52153827	11.46990032	11.47862314	11.10966037	11.0995575
affy_1459687_x_at	6.487273379	6.056847823	6.1250681	5.811140767	6.065416523
LOC73317	3.237363206	3.258647165	3.139586171	3.115355805	2.815694053
9330151L19Rik	6.121176155	5.582073484	5.915894171	5.69823186	5.69961007
Zfp712	3.822347126	3.695901659	3.214476305	3.210190503	3.400890062
affy_1438703_at	6.333442932	6.136644537	6.095138382	5.635113806	5.912167326
Stt3b	8.458925242	8.904927197	8.778881982	8.754082534	8.037657266
Serhl	5.360486733	5.093696394	5.053808988	5.137057832	4.939670716
Galnt2	8.161848775	7.783930673	8.748914309	8.270293151	7.741146955
Ptcd2	7.4076156	7.067177113	6.987305793	6.894462297	6.986925985
Jub	4.388245751	3.569313022	3.846743343	4.119437768	3.967654145
affy_1436357_at	7.798057733	6.286488842	6.337594159	7.436689725	7.377475615
Mapk1	8.536168691	8.524866726	8.473710281	8.175722391	8.115927679
AI481227	7.008991227	6.914277296	6.496280245	6.671960399	6.589002835
AW047481	3.33092439	3.016008896	2.928802751	3.232432289	2.911207118
5830434P21Rik	8.11230261	7.995607929	7.949348717	7.838108479	7.692965084
Rex2	3.812747505	3.248639443	2.898498206	3.1038989	3.39342703
Slbp	5.504078384	6.984888235	6.55469898	5.077286051	5.084970682
affy_1437130_at	2.754898294	3.951318257	3.592525326	2.397429885	2.335828201
Rutbc1	5.431656473	4.716285246	5.153780589	5.189826451	5.012733984
Arl2	5.754465456	5.726455152	5.600761775	5.613228384	5.335664016
Ccl20	3.944890831	3.647316422	3.719350761	3.671837028	3.526375094
2700094F01Rik	6.922143974	7.185680609	6.532383199	6.412995411	6.503645911
Atf2	6.668315325	6.616269265	6.501858635	6.141157062	6.249928709
Cmas	8.65357882	7.630142794	8.103022289	8.675944652	8.235358812
Arvcf	4.142050922	3.683712032	3.783499321	3.689380522	3.723978914
BC019943	6.539770106	6.490533669	6.251172811	6.228022778	6.121776839
Mrpl28	8.617915529	9.174616038	8.925440249	8.495563028	8.199999932
Chd3	8.493097767	7.833645897	7.811901988	7.806389961	8.07542761
Mical1	8.707653359	8.382194744	8.778638687	8.704617843	8.290433891
Arid1a	9.537227414	9.480598737	9.205849573	8.987598639	9.120092224
Smc1l1	7.501348065	8.882059629	9.017851034	7.636924464	7.084454165
Htf9c	6.781357292	6.616866367	6.605246241	6.398097537	6.364609289
Fxyd6	2.798021678	2.741242781	2.425937699	2.479097521	2.381388923
Prcc	5.355686076	5.721173918	6.00191938	5.525051182	4.939056224
affy_1458580_at	4.888417765	4.541542419	4.538238187	4.548404125	4.471824344
Cdan1	6.157751124	6.904449483	6.877825929	5.840669348	5.741257929
Pde10a	6.513591927	3.911446313	6.025480812	5.565091901	6.097334319
BC031353	6.742143063	5.379381298	5.583187762	6.07659393	6.326388482
Spata5	6.189133341	6.216594209	5.969723714	5.663211026	5.773486892
Acbd5	7.632002194	6.597810677	6.672142814	6.844613302	7.216376809
Optn	5.290625474	4.589037433	4.345867209	4.360750258	4.875063893
affy_1443431_at	2.605036038	2.332126753	2.339709573	2.190391124	2.189490878
Ppm1b	8.157489005	7.686549934	7.72133682	7.361754292	7.742069875
LOC50777	8.67762944	8.465286996	8.171694333	8.097728239	8.262290886
Ppap2a	3.11019757	3.740083623	3.660630908	3.191172373	2.694883494
Serpinb6a	4.294276562	4.228946707	4.015823874	4.033797452	3.878963385
Lrrc59	9.021234651	9.613145802	9.586268456	9.059647168	8.606076179
Tfrc	9.282499514	9.140390191	9.267008632	8.979253081	8.867447098
Cyp2j11	3.155317607	3.326237376	3.11391632	3.111917031	2.740281495
affy_1442479_at	3.223760867	3.143458365	3.052278451	2.873924401	2.809009053
Stk33	2.528312096	2.353053199	2.44111926	2.408511088	2.114664087
affy_1444826_at	3.002416828	2.759327359	2.58567421	2.619989792	2.588782789
7530403E16Rik	3.030566409	2.816905527	2.923278151	3.19018107	2.617165666
Dpagt1	8.136033523	7.801975109	7.962504362	8.192120036	7.722951523
Ict1	6.364520803	6.48997665	6.214750708	6.164318499	5.951689934
1110054O05Rik	6.688082893	7.011942967	6.684049596	6.21361258	6.275300396
Gm1057	7.778747353	7.47857044	7.049997698	7.48667628	7.366195224
Rabep1	6.570234996	6.315341617	6.162799588	5.982003094	6.15840088
Zfp410	6.710495709	6.840193902	6.44017622	6.146264876	6.298666915
6430537K16Rik	4.723611319	4.690013748	4.547382739	4.19813717	4.311826003
Nalp10	4.54962736	3.387448069	3.005590635	4.541971242	4.1379543
affy_AFFX-r2-Ec-bioD-5_at	7.173912282	6.599108222	6.731387525	7.055219875	6.762334689
LOC381400	4.019940236	5.689731666	3.962962967	3.567149685	3.608363151
Atpaf1	8.002917809	8.105381891	8.372611212	7.50166114	7.591354999
2410018E23Rik	4.513464301	4.23243031	4.055489982	3.785551626	4.102000266
Pole2	5.455107028	6.640122248	6.733213337	5.451923041	5.043662163
4930426I24Rik	4.583489444	4.314270877	4.273271338	4.233255063	4.172175332
Lrig2	6.897104935	6.018947966	6.057266715	6.401020254	6.485866312
Slc39a2	3.573922277	3.436327377	3.318437018	3.028624219	3.162714924
Krtap6-2	2.914078017	2.720924024	2.734341724	2.661189527	2.503252943
P2ry13	6.319698954	4.499928913	4.423790367	4.92544463	5.908939194
Ctse	9.209842517	9.840543673	9.498576179	8.951017768	8.799378052
4930551A22Rik	5.226530853	4.850046897	4.823886546	4.911738837	4.816181659
E430014L09Rik	3.486140251	3.578760031	3.479425461	3.178295421	3.075958866
affy_1447107_at	4.735304877	4.756316215	4.480564471	4.491165671	4.325333362
3110031B13Rik	7.271365365	7.080985276	6.614663685	6.813815555	6.861461578
Nrg4	3.424000965	3.176926649	3.283155489	2.991182244	3.014331015
affy_1445780_at	3.148872885	2.745695651	2.809547208	2.443331252	2.739205842
Chic2	7.051165895	7.347057464	6.674878575	6.667974037	6.641639711
Itih3	2.805817976	2.728855512	3.184982844	2.775329237	2.396310659
Nphp4	4.653376462	4.709490821	4.749289493	4.573277875	4.244028552
Ssh3	6.594118454	6.045639612	6.774118152	6.487826891	6.184875705
Ech1	9.555446405	8.401714542	9.419763275	9.750820685	9.146225296
Kel	3.162672547	3.0338423	2.806585543	2.854471844	2.753497094
2310008M10Rik	7.864136041	8.028869331	8.030407865	8.332728281	7.45499716
Aurkaip1	9.758624794	9.745695273	9.735534642	9.77635661	9.349546821
Eif5a	11.61812167	12.29869445	12.10299884	11.71997286	11.20926953
6720458F09Rik	6.11478883	6.341651191	5.971506461	5.81310559	5.706023469
Tnni3	3.474942845	3.207753852	3.382847271	3.191138884	3.066350539
Zfp418	3.980699699	4.304864797	3.944708404	3.537664025	3.572158555
AW011752	8.267398949	8.483002313	7.999753288	7.871338325	7.858858226
Prodh2	3.626702267	3.447496456	3.152676974	2.880981458	3.218778595
C85843	6.85132883	6.844642036	6.393959227	6.398148782	6.443612641
AI427138	5.140017098	4.632025241	4.78935471	5.139790834	4.732395361
Lrrk1	7.175923951	7.008757435	6.614272607	6.862985919	6.768558233
affy_1441135_at	3.695691288	3.486023844	3.459891656	3.581758305	3.288498941
Magmas	10.23492109	10.09217655	10.34600477	10.10757159	9.82822372
Nfkb1	6.482733155	6.386731186	6.311360871	6.142872028	6.076044227
Tbx21	3.256107413	2.855472109	2.950474778	2.647069475	2.849539294
1110055N21Rik	8.461799001	8.49387379	8.236529974	8.081808034	8.055338677
Esrrb	4.259202509	4.296897086	4.107005198	4.03498502	3.853306027
5730470L24Rik	7.841717796	7.146859273	7.335088156	7.616068344	7.435835448
affy_1441367_a_at	3.701741229	3.442940649	3.265175794	3.420592256	3.295895804
Mta2	8.891967512	9.201750593	9.032716699	8.527216554	8.486226603
Commd1	8.232083462	8.620300203	8.524859831	8.361866391	7.82647842
1700031C06Rik	2.526322561	2.183146514	1.923513744	1.867500291	2.120771479
Ceacam9	4.434495618	3.97990494	3.985385236	3.672374831	4.029168951
affy_1459714_at	2.541533192	2.243348963	2.436784708	2.403879803	2.136316927
Psmc1	5.661003913	5.862097141	6.052424227	5.514707121	5.255791309
Them2	7.24560569	5.950010523	4.987217034	6.409743773	6.840422771
Ephx1	9.34161316	7.45371956	7.759443471	8.909906392	8.936482193
Hagh	7.737492957	7.467882897	8.069397781	7.77833348	7.33251261
affy_1458711_at	4.290163519	3.847097779	4.316773802	3.926973139	3.885332418
E130309F12Rik	3.000890941	2.672916678	2.651970362	2.563072522	2.596281092
Gna12	5.140098604	4.263998638	4.686547813	5.052088417	4.735507123
Hccs	7.480017233	8.457838547	8.178654316	7.417916174	7.075639391
Rps3a	13.49874654	13.42319749	13.34688521	13.2856191	13.09448471
Mttp	3.900960976	3.516174948	3.401209137	3.423573899	3.496824863
Chmp5	5.122760002	5.155310719	4.711592979	4.834536886	4.71871785
affy_1428127_at	8.024830398	8.06332002	8.032910756	7.839413904	7.620843606
4933413B09Rik	2.847266243	2.681042916	2.608018953	2.510318524	2.443693835
4930539E08Rik	5.064929747	4.623299534	4.5449269	4.629040603	4.661570829
Gmpr2	7.770472279	7.497465577	7.568735018	7.67555092	7.367205703
C77668	6.960533005	6.671246135	6.931881342	6.992486016	6.557453863
4632404H12Rik	4.654308425	3.952243293	3.97109751	4.325310706	4.251458785
C330005M16Rik	4.70572825	4.399444559	4.326795655	4.454621641	4.302995666
Pet112l	5.058572631	4.881956744	4.908069692	4.87106161	4.6559763
affy_1438758_at	6.214183518	6.095883516	6.066918246	5.935407383	5.81181703
2310047K21Rik	3.644069245	4.020452738	3.987974376	3.41235935	3.241742019
4733401H18Rik	8.208657659	7.52354378	7.963272316	8.21457301	7.806352326
Ghr	2.70194353	2.655221991	2.515684999	2.491574186	2.299952559
Mbtps1	5.397350663	5.744430892	5.631005581	5.408270058	4.995520486
Fdps	9.014765903	10.30214436	10.74576669	10.14737438	8.613155645
Zfp27	5.491830029	5.118189072	4.890523805	4.987472583	5.090373727
Thoc4	6.339867418	7.712425238	7.110855315	6.1943363	5.938639158
Rgs16	3.502734338	3.3737123	3.246772155	3.371310258	3.101628388
affy_1442914_at	2.768230149	2.489342611	2.657059971	2.344518297	2.367196625
Dnahc6	4.453719651	4.503704531	4.092139465	4.060212017	4.052811731
B130034C11Rik	3.669899149	3.135076071	3.355142679	3.12559338	3.269016374
Bop1	7.211434124	7.383449661	7.280666135	6.853888702	6.810572068
Cep76	6.032686012	7.021476905	6.816505232	5.83175427	5.632059106
Rpl13	13.32100443	13.21674594	13.17326108	13.16577536	12.92057112
Bat1a	5.992202315	6.397146883	5.908833277	5.598828158	5.591799761
AA407270	2.411016797	2.298265185	2.207996544	2.195967661	2.01111495
4933439F18Rik	5.062509611	4.656765836	4.408593235	4.032613131	4.662723124
4632415K11Rik	5.929194615	4.480726767	5.036489613	5.501104551	5.52963446
Uqcrfs1	9.515781198	9.698032444	9.656307455	9.528595479	9.116248724
Psmd8	10.57023345	10.5247843	10.39796549	10.29821792	10.17075817
1110014K08Rik	4.583065432	4.219156659	4.150118746	4.166354005	4.183659582
Pcyt1b	4.462332665	4.123603639	3.88524036	4.247779612	4.063373209
Hsdl2	6.868018334	6.130264532	6.122619347	6.702804439	6.469336291
Ankrd6	4.940839495	4.234824166	4.494005932	4.486673555	4.542474452
Klra18	6.676989302	8.162735384	6.976638897	6.839875667	6.278661879
Pigq	8.004971425	8.46677738	8.309430826	8.252219961	7.606680207
Ubxd2	7.856842598	6.767697461	7.028079112	7.433930753	7.458745273
affy_1445359_at	3.324931888	2.919325331	2.851140937	3.018006993	2.92709922
Bnip3l	9.618619096	9.153126129	10.15957439	9.571953585	9.221110943
Oat	8.955214064	9.534130354	9.777558144	9.248582125	8.55810516
Crsp8	5.837667353	6.777028182	6.29973363	5.799083221	5.44059919
Nsmaf	7.162038965	6.891406651	6.381917135	6.603034595	6.765113231
Ank	10.11040471	9.734084236	9.420377927	9.986867731	9.713688988
LOC435970	2.593466834	2.457150165	2.204712275	2.492870224	2.19690267
C630004H02Rik	5.879152145	5.321136419	5.559247804	5.706362575	5.482845955
Cdk5rap2	4.968285071	4.710693205	4.557025518	4.582907388	4.571982586
Slc1a6	2.965765517	2.789023429	2.786651663	3.015554607	2.569551158
affy_1457041_at	4.941703246	5.184882039	5.014690767	4.708883615	4.54567179
Cyp3a13	2.262854583	2.164467475	2.313178829	2.193569781	1.866880278
1600027N09Rik	4.828856667	4.768648142	4.711065591	4.485000989	4.432906303
A630054L15Rik	6.189999764	6.161009632	5.858792601	5.658531786	5.794554283
Catsper3	3.305296148	3.107682713	2.951693299	2.811524138	2.909971266
Klf2	9.121608432	7.89615765	8.724701788	9.513985779	8.726495683
Pik3ap1	9.168551581	8.833284671	8.859836485	8.93750043	8.773688833
Rragd	3.619911613	2.915091487	2.974224563	3.201639794	3.225129197
Hlrc1	6.41147999	6.297018747	6.536466958	6.320576524	6.016823058
3010001K23Rik	6.37895135	6.255400596	5.997135706	6.138890869	5.984323733
Qars	9.498614487	9.056134981	9.288342838	9.482258537	9.103992559
Laptm4b	4.510168125	4.119646274	3.821986516	4.089703106	4.115655143
affy_1444922_at	4.467732562	4.396269355	4.35212354	4.209927851	4.073305635
4921525L17Rik	4.241764401	3.884703465	3.779070679	3.777243932	3.847543114
Ankrd40	6.718824666	6.071686981	6.048610602	6.48691814	6.32480695
Cog6	7.65195759	6.991018634	7.10378084	7.420792775	7.258147518
4933401D09Rik	2.889899564	2.815407584	2.750478635	2.681248879	2.496253117
4921524J06Rik	4.316363429	4.15944751	4.222232688	3.978514997	3.922810716
affy_1443557_at	7.035077504	7.099214584	6.851082192	6.491150698	6.641862404
Nr2c1	5.841323129	5.349306899	5.03827035	5.222360964	5.448238344
5830483C08Rik	3.067494614	4.396620789	4.070175772	2.454056486	2.674461563
LOC381796	4.383995828	4.366234442	4.162180289	4.097165276	3.991686589
affy_1443598_at	3.740472089	3.5094629	3.469700724	3.404323291	3.348248131
Camk2n1	5.311112334	3.670674751	5.01923533	5.210965177	4.918958757
9030411K21Rik	6.777079895	6.597773598	6.587744676	6.044606622	6.38505983
Commd7	7.651079954	6.90641054	7.034211673	7.335192118	7.259294378
affy_1457643_x_at	7.564486721	7.526360367	7.582436748	7.362154261	7.17279879
Actg1	12.02947914	12.94938905	13.2464992	12.73417425	11.63781485
Ccdc6	8.378210107	7.947792247	7.920638994	7.796803296	7.986560896
Ctsw	5.136782949	4.95595255	4.859606922	4.788856397	4.745216864
4932416J16Rik	3.101396431	2.915018977	2.965883541	2.974998701	2.709909276
Pin1	8.561840826	9.536210386	9.203702387	8.40987999	8.170415855
2410018C17Rik	5.556440385	5.054881564	5.137955861	5.170016087	5.165148715
D130043K22Rik	3.308414979	2.997231324	3.094435468	2.820697537	2.917217903
Kctd9	6.135743609	7.096987289	6.794268214	6.582532543	5.744638711
0610025P10Rik	7.459852543	7.331648055	7.388246788	7.299488	7.069134373
Zfp278	7.291670768	6.890213558	7.195878414	7.207189353	6.900983121
1110054P19Rik	4.289164184	4.183419456	4.192959348	3.984689051	3.898518486
affy_1440562_at	3.585330578	3.522641359	3.563234809	3.613310797	3.194712085
4430402I18Rik	5.501704978	5.64018885	5.118458123	5.365853119	5.111125298
Rpl7	12.88242783	12.73050773	12.63968553	12.61990792	12.49189854
affy_1436348_at	8.517786386	8.547189647	8.29531195	8.225577064	8.127302533
Ppm1j	4.529826191	4.238658839	4.20734733	4.062441155	4.139419009
Rai17	7.242819866	5.873984518	6.530689868	6.636006184	6.852532416
Rab2	5.73796648	5.328920742	5.210366537	5.307065397	5.34781644
Bat4	7.107280068	6.964401374	7.072399711	6.893734727	6.71717387
2310014L17Rik	5.255736592	5.621842484	5.421186901	4.939480233	4.865639621
Cacng3	3.782822247	3.824984464	3.649237347	3.669820739	3.392921709
Leprel2	3.112073427	2.866527173	2.820388415	2.777554413	2.722256941
C030006K11Rik	4.4697169	4.371842385	4.4501059	4.163267945	4.079937271
affy_1440801_s_at	2.438318141	2.196359052	2.198624944	2.091902823	2.049144503
Npat	4.955320664	5.510925946	5.331090476	4.49877497	4.566370625
Aytl2	7.889785257	8.135410718	8.032691417	7.738344681	7.50091413
Lsmd1	8.979357689	9.340084045	9.388156507	9.136154674	8.590574891
D630037F22Rik	6.400852224	5.397200871	5.58709654	5.973226292	6.012225319
9630042H07Rik	3.140386282	3.149095308	3.149254663	3.070920297	2.751859575
AU041129	6.235295251	6.071660027	5.898266149	6.130030003	5.846827262
Tubgcp3	7.352551622	8.307634152	7.959244588	7.397909535	6.964101079
Gm237	6.531171582	6.209243535	6.244756621	6.234839896	6.142844725
D16Bwg1543e	10.52856038	10.16707896	9.990557608	10.25371961	10.14064626
Itgb3bp	3.934541947	3.677899088	3.593506893	3.448389758	3.546668226
Ncor1	8.744416598	8.070945263	8.12472595	8.287032628	8.356811904
Rassf7	7.18232374	7.225565709	7.34911938	6.989851902	6.794815185
D5Ertd505e	2.437579255	2.183847534	2.220024875	2.141354051	2.050104533
Ehmt1	9.74434638	9.179118374	9.307012087	9.09397173	9.357080794
affy_1438797_at	4.218482381	3.677255062	3.179186191	3.614697013	3.831278958
Suhw4	7.208001417	7.271417363	7.268335659	6.840766075	6.820912684
1110020L19Rik	6.977332285	7.678726928	7.889022506	7.012272625	6.590320452
affy_1446846_at	6.091788061	4.529825226	5.32949406	5.464123582	5.704799675
Vapa	10.78196845	10.7617582	10.93372268	10.46800067	10.39541485
affy_1446294_at	6.158675346	6.392812525	5.850544643	5.977794	5.772208388
affy_1437421_at	7.177532475	5.417186903	4.706933459	5.609027884	6.791151986
A730017D01Rik	2.691141164	2.575241331	2.607324914	2.27174879	2.304774432
affy_1420285_at	2.638061297	2.55833255	2.286645291	2.550814529	2.251726184
Rhox5	4.714433821	4.870647361	4.776844265	4.702139061	4.328174471
Nup50	7.903161468	8.331191254	7.860915898	7.447952353	7.517714778
affy_1456752_at	7.223155413	7.419691951	7.087846821	6.856598586	6.837753583
Artn	3.519849495	3.314608735	3.116665542	3.253129763	3.134458236
Rph3al	4.227913865	3.853614627	3.853525577	3.727297668	3.843206438
BC003940	8.425852152	8.009210241	7.975225289	8.346394665	8.041214351
affy_1434541_x_at	10.93127457	11.11024184	11.03511485	10.70741712	10.54663943
Zipro1	6.974672607	7.307610925	6.753101402	6.476498597	6.59026513
Ogfod1	5.100787753	4.998518507	4.966580801	4.900921757	4.71643105
Chrng	2.939356968	2.763897059	2.696060946	2.732573607	2.555020074
Nrf1	6.260435823	6.870074445	6.334769247	5.76597973	5.876141409
U2af1-rs2	4.625753568	4.58165889	4.408698905	4.210242499	4.241663774
Thap3	6.52219347	5.825302636	5.697426106	5.887809927	6.138387673
A930040G15Rik	4.319176289	4.075782911	4.210090652	4.075269065	3.935370537
Sirt4	6.529863346	5.849341302	5.761412853	6.079378815	6.146207159
Serpina9	3.298585946	3.017715926	3.003919553	2.848434865	2.914992217
affy_1446951_at	2.413843233	2.329287974	2.140701	2.326772948	2.030417394
A630026N12Rik	4.974946664	4.768777967	4.524376664	4.614334459	4.591712811
affy_1437909_at	6.300901712	6.717206414	6.163015094	5.868796173	5.917829841
Th1l	7.472850286	8.20988892	7.775200085	7.315042511	7.089819135
AW413774	6.501228828	6.220653858	6.026504804	6.065508754	6.118199572
Dnajb10	6.555871473	5.666363825	6.344820167	6.61024452	6.173321359
Gmfb	6.202761968	5.94071856	6.15262565	6.129183644	5.820786448
Hdac10	5.184859613	5.051325397	4.971152363	5.088463185	4.80311347
C030025P15Rik	8.052196802	8.278023777	8.524286056	8.183490537	7.670779355
affy_1429509_at	7.660445111	7.818393751	7.326033412	7.476905166	7.27922176
BC043118	4.258000435	4.128107457	3.917985517	3.848807886	3.876995728
D16Bwg1494e	3.895218012	3.475012267	3.497967342	4.053348178	3.514425852
Hist1h2bp	6.955359362	5.663212301	5.319219696	5.480974081	6.574925359
affy_1446336_at	3.056714057	2.79497688	2.618647463	2.753402317	2.676448354
Rad17	9.187644439	9.08489201	8.811733389	8.536163231	8.807415008
BC035954	3.617928967	3.120456952	2.860775857	3.368294006	3.237740946
Snx14	7.030415868	6.094269527	6.811352003	7.193921493	6.650567878
Psmb6	10.10480984	10.56240261	10.64120926	10.13641175	9.725197804
Cyp11a1	3.222665985	3.079686768	3.027970473	2.985278806	2.843117699
Zfp95	4.718587645	4.533577267	4.384582908	4.383315478	4.339048451
2900016D05Rik	6.011271517	6.556615549	6.035865298	6.08739258	5.631735779
affy_1457986_at	3.258079598	3.140988568	3.103598178	2.918132892	2.878808251
Tdrd3	3.985202798	4.468577342	3.958629092	3.756967526	3.606024651
Elavl2	3.696410163	3.184012326	3.053785873	3.19044002	3.317299285
Ptger4	3.027366948	3.020640816	3.175074812	2.801934666	2.648275296
Acaa2	6.761912317	6.516789479	6.604209977	7.193282961	6.382852473
9430032J07Rik	3.373276593	3.196834899	3.287337122	2.896363073	2.994397063
E130309D02Rik	7.567165966	7.777721178	7.71963178	7.320276164	7.188344338
Rab17	3.923535135	3.62655777	3.663665339	3.470869516	3.544741694
AU016693	8.235895669	8.581428125	8.161019723	8.225028914	7.857498952
Fads2	6.231539763	7.540675181	7.021969618	6.81604212	5.853303871
Attp	4.821540711	5.07991176	5.030818232	4.558435662	4.443449985
affy_1444617_at	2.549623471	2.184505395	1.976899991	1.973761958	2.171823847
4921511I16Rik	4.920754124	5.456950488	5.057052569	4.208149084	4.543134866
Lgtn	7.480621391	7.357868907	6.943112238	6.849825972	7.103147257
6330577E15Rik	9.808298665	9.211404992	9.621873016	9.626527688	9.430838601
4930515G13Rik	3.458599112	2.858621082	2.836085217	3.070742663	3.081171608
Dhrs2	4.316754473	4.073579206	4.002610633	4.057751738	3.939447139
Fyn	8.748358276	8.509410185	8.618671829	8.507513379	8.371291959
Zyg11bl	5.024702144	4.671118525	5.115909625	4.801271955	4.647705725
Tmem109	5.415873049	6.01962616	5.793747123	5.342757549	5.038918048
Cd40lg	4.317969581	3.977796196	4.173814748	4.043002549	3.941192975
Ppm1a	6.029293314	5.311047235	5.433439126	5.203793068	5.652653216
2310061F22Rik	6.924042553	7.634550808	7.22486235	6.610083447	6.547675018
Rps9	10.43443439	10.19768812	10.23789085	10.23597437	10.05808022
